Rk,Team,FG%,3P%,2P%,AST,STL,BLK,TOV,PF,PTS
1,Boston Celtics*,.434,.339,.497,22.1,7.7,4.7,14.1,19.9,106.9
2,Golden State Warriors*,.438,.339,.509,23.2,8.0,3.9,14.7,18.2,106.9
3,Phoenix Suns*,.444,.340,.510,22.9,7.5,4.0,14.7,18.9,107.3
4,Memphis Grizzlies*,.455,.349,.522,24.8,7.1,6.0,14.9,19.7,109.0
5,Miami Heat*,.447,.339,.537,24.0,7.7,4.2,15.5,21.2,109.1
6,Dallas Mavericks*,.457,.340,.527,24.5,7.3,3.8,13.7,21.0,109.4
7,Cleveland Cavaliers,.452,.353,.514,25.0,8.7,4.8,13.9,20.7,109.7
8,Los Angeles Clippers,.450,.345,.513,24.5,7.8,4.2,13.8,18.8,110.1
9,Utah Jazz*,.453,.350,.518,24.0,8.0,4.4,12.3,20.8,110.5
10,Toronto Raptors*,.462,.354,.538,26.1,6.9,5.2,16.3,19.7,110.5
11,New York Knicks,.447,.342,.527,25.1,7.2,4.8,13.1,21.1,110.5
12,Philadelphia 76ers*,.458,.346,.527,24.3,6.8,4.8,13.7,20.1,110.8
13,Minnesota Timberwolves*,.460,.350,.543,25.8,7.1,4.8,16.1,20.6,111.7
14,Milwaukee Bucks*,.456,.356,.537,25.8,7.4,4.3,13.0,19.6,111.8
15,Denver Nuggets*,.470,.346,.549,25.8,8.0,4.9,13.0,20.2,112.1
16,San Antonio Spurs,.466,.360,.528,23.9,7.3,4.9,13.7,18.8,112.3
17,Orlando Magic,.458,.363,.524,24.9,8.0,5.2,13.2,18.4,112.5
18,Brooklyn Nets*,.452,.345,.523,24.0,8.0,4.9,13.3,19.8,112.8
19,Oklahoma City Thunder,.458,.353,.536,26.3,8.5,6.0,13.3,18.0,112.8
20,New Orleans Pelicans*,.471,.365,.546,25.5,7.6,4.9,14.5,21.0,113.0
21,Los Angeles Lakers,.470,.352,.548,25.8,8.2,4.1,13.8,19.8,113.3
22,Chicago Bulls*,.474,.366,.536,25.4,7.2,5.1,13.3,18.4,113.6
23,Charlotte Hornets,.466,.362,.544,26.2,7.4,4.6,14.8,19.4,113.7
24,Detroit Pistons,.473,.362,.540,25.4,7.5,5.3,14.8,20.0,113.8
25,Washington Wizards,.464,.361,.522,24.2,7.5,4.3,12.1,20.4,114.5
26,Atlanta Hawks*,.471,.364,.541,26.0,7.2,4.6,13.0,20.8,114.9
27,Sacramento Kings,.479,.372,.547,25.2,8.1,4.8,13.4,20.2,115.3
28,Indiana Pacers,.483,.372,.547,25.4,8.2,4.9,13.4,19.4,116.1
29,Houston Rockets,.483,.353,.570,25.3,9.3,5.7,13.9,21.8,116.7
30,Portland Trail Blazers,.479,.371,.561,27.0,8.3,5.1,14.2,19.7,116.9
